"","id","nsib79","afqtrev","urban14","male","mfinc1617","black","hisp","mhsgrad","mscoll","fhsgrad","fscoll","intact","mfinc1617q1","mfinc1617q2","mfinc1617q3","mfinc1617q4","mfinc1617q","afqtq1","afqtq2","afqtq3","afqtq4","afqtq","momageatbirth","dob62","dob63","dob64","hgc2122","hga2122","Dhgacoll2122","Dhgacoll2223","Dhgacoll2324","Dhgchs2122","Dhgchs2223","Dhgchs2324","fedmiss"
"37",120,2,97,0,1,15.8485523385301,0,0,1,1,1,0,1,0,0,0,1,4,0,0,0,1,4,29,1,0,0,14,15,1,1,1,1,1,1,0
"38",121,2,84,1,0,5.15439529352155,0,0,1,1,1,1,1,0,0,1,0,3,0,0,0,1,4,31,0,0,1,15,16,1,1,1,1,1,1,0
"39",122,1,56,1,1,3.16971046770601,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,3,22,0,0,0,12,12,0,0,0,1,1,1,0
"40",123,1,89,1,1,5.93,0,0,1,1,1,1,1,0,0,1,0,3,0,0,0,1,4,NA,1,0,0,14,14,1,1,1,1,1,1,0
"41",133,4,44,1,0,5.43658173719376,0,0,0,0,0,0,1,0,0,1,0,3,0,0,1,0,3,34,1,0,0,12,13,1,1,1,1,1,1,0
"42",135,5,29,1,1,6.63099041533546,0,0,0,0,1,0,1,0,0,1,0,3,0,1,0,0,2,33,0,0,1,13,14,1,1,1,1,1,1,0
"43",137,4,87,1,0,10.56570155902,0,0,1,1,1,1,1,0,0,0,1,4,0,0,0,1,4,21,0,0,0,14,15,1,1,1,1,1,1,0
"44",138,4,80,1,0,11.21285077951,0,0,1,1,1,1,1,0,0,0,1,4,0,0,0,1,4,23,1,0,0,15,16,1,1,1,1,1,1,0
"45",139,4,64,1,1,11.1546696035242,0,0,1,1,1,1,1,0,0,0,1,4,0,0,1,0,3,23,0,1,0,14,15,1,1,1,1,1,1,0
"46",141,2,81,1,0,7.96920681514477,0,0,1,0,1,1,1,0,0,0,1,4,0,0,0,1,4,41,1,0,0,15,16,1,1,1,1,1,1,0
"47",143,3,63,1,0,4.49042316258352,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,3,32,0,0,0,12,12,0,0,0,1,1,1,0
"48",144,3,29,1,0,4.4154727753304,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,2,36,0,0,1,12,12,0,0,0,1,1,1,0
"49",145,3,52,1,1,4.54985523385301,0,0,1,0,1,0,1,0,1,0,0,2,0,0,1,0,3,21,1,0,0,11,12,0,0,0,0,0,0,0
