"","id","hisp","age97","momageatbirth","age98","age99","age00","age01","age02","age03","male","white","black","intact97","afqtq","afqt1","afqt2","afqt3","afqt4","cvhhlt18","msa12","hhinccat","hhinccat1","hhinccat2","hhinccat3","hhinccat4","hhnetworthcat","hhnetworthcat1","hhnetworthcat2","hhnetworthcat3","hhnetworthcat4","age04","b1980","b1981","b1982","b1983","b1984","Dhgacoll2122","Dhgc12_2122","momhs2","momcoll2","other"
"3069",3964,0,13,33,15,16,17,18,19,19,0,1,0,1,2,0,1,0,0,2,1,4,0,0,0,1,4,0,0,0,1,21,0,0,0,1,0,1,1,1,0,0
"3070",3965,0,13,31,14,15,16,17,18,19,0,1,0,1,4,0,0,0,1,2,1,4,0,0,0,1,4,0,0,0,1,20,0,0,0,0,1,NA,NA,1,1,0
"3071",3966,0,14,30,16,17,18,19,20,21,0,1,0,1,4,0,0,0,1,2,1,4,0,0,0,1,4,0,0,0,1,22,0,0,1,0,0,1,1,1,1,0
"3072",3967,0,14,NA,16,17,18,19,20,21,1,1,0,0,4,0,0,0,1,1,1,4,0,0,0,1,4,0,0,0,1,22,0,0,1,0,0,1,1,NA,NA,0
"3073",3970,0,17,38,18,19,20,22,22,23,0,1,0,0,4,0,0,0,1,3,1,3,0,0,1,0,4,0,0,0,1,24,1,0,0,0,0,1,NA,1,1,0
"3074",3971,0,13,42,15,16,17,18,19,20,0,1,0,0,4,0,0,0,1,3,1,3,0,0,1,0,4,0,0,0,1,21,0,0,0,1,0,1,1,1,1,0
"3075",3972,0,15,18,17,NA,19,20,21,22,0,1,0,0,2,0,1,0,0,2,NA,1,1,0,0,0,1,1,0,0,0,23,0,1,0,0,0,0,1,0,0,0
"3076",3973,0,14,17,16,17,18,19,20,21,0,0,1,0,1,1,0,0,0,2,1,2,0,1,0,0,4,0,0,0,1,22,0,0,1,0,0,1,1,1,0,0
"3077",3974,0,12,20,14,15,16,17,18,19,1,0,1,1,2,0,1,0,0,2,1,2,0,1,0,0,4,0,0,0,1,20,0,0,0,0,1,NA,NA,1,0,0
"3078",3976,0,14,28,15,NA,18,18,19,20,0,1,0,1,3,0,0,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0,0,0,1,0,1,1,1,1,0
"3079",3978,0,15,29,17,18,NA,NA,22,22,0,1,0,0,2,0,1,0,0,1,1,2,0,1,0,0,3,0,0,1,0,23,0,1,0,0,0,1,1,1,1,0
"3080",3979,0,16,24,18,19,20,21,22,23,0,1,0,1,1,1,0,0,0,2,1,3,0,0,1,0,3,0,0,1,0,24,1,0,0,0,0,1,1,1,0,0
"3081",3980,0,13,27,15,16,17,18,19,20,1,1,0,1,4,0,0,0,1,2,1,3,0,0,1,0,3,0,0,1,0,21,0,0,0,1,0,1,1,1,0,0
"3082",3981,0,14,31,15,16,17,19,NA,NA,1,1,0,1,2,0,1,0,0,1,1,2,0,1,0,0,2,0,1,0,0,22,0,0,0,1,0,0,0,0,0,0
"3083",3982,0,16,29,17,18,19,20,21,22,0,1,0,1,3,0,0,1,0,1,1,2,0,1,0,0,4,0,0,0,1,23,0,1,0,0,0,1,1,1,1,0
"3084",3983,0,13,16,15,15,16,17,18,19,0,1,0,0,4,0,0,0,1,2,1,2,0,1,0,0,1,1,0,0,0,20,0,0,0,0,1,NA,NA,0,0,0
"3085",3984,0,14,25,16,17,18,19,20,21,0,1,0,0,1,1,0,0,0,2,1,2,0,1,0,0,2,0,1,0,0,22,0,0,1,0,0,0,0,1,1,0
"3086",3987,0,16,26,18,NA,NA,NA,NA,NA,1,1,0,1,1,1,0,0,0,1,1,4,0,0,0,1,NA,NA,NA,NA,NA,NA,1,0,0,0,0,NA,NA,1,0,0
"3087",3988,0,16,39,18,19,20,21,22,23,1,1,0,1,4,0,0,0,1,2,1,4,0,0,0,1,2,0,1,0,0,24,1,0,0,0,0,1,1,1,1,0
"3088",3989,0,15,34,17,18,19,20,21,22,0,1,0,0,4,0,0,0,1,2,1,4,0,0,0,1,2,0,1,0,0,23,0,1,0,0,0,1,1,1,1,0
"3089",3990,0,15,34,17,NA,19,NA,21,21,0,1,0,1,2,0,1,0,0,1,1,3,0,0,1,0,4,0,0,0,1,NA,0,0,1,0,0,1,1,1,1,0
"3090",3991,0,16,26,18,19,20,21,22,23,1,1,0,0,2,0,1,0,0,1,1,3,0,0,1,0,2,0,1,0,0,24,1,0,0,0,0,0,1,1,1,0
"3091",3992,0,16,25,18,19,20,21,22,23,0,1,0,0,2,0,1,0,0,2,1,2,0,1,0,0,2,0,1,0,0,24,1,0,0,0,0,1,1,1,0,0
"3092",3993,0,12,29,14,15,16,17,18,19,1,1,0,0,2,0,1,0,0,2,1,2,0,1,0,0,2,0,1,0,0,NA,0,0,0,0,1,NA,NA,1,0,0
"3093",3994,0,12,26,14,15,16,17,18,19,1,1,0,0,4,0,0,0,1,2,1,3,0,0,1,0,3,0,0,1,0,20,0,0,0,0,1,NA,NA,1,0,0
"3094",3995,0,13,23,NA,NA,17,18,19,20,1,1,0,0,1,1,0,0,0,3,1,2,0,1,0,0,2,0,1,0,0,NA,0,0,0,1,0,NA,NA,0,0,0
"3095",3996,0,12,24,NA,NA,16,17,18,18,1,1,0,0,1,1,0,0,0,3,1,2,0,1,0,0,2,0,1,0,0,20,0,0,0,0,1,NA,NA,0,0,0
"3096",3997,0,17,24,18,19,NA,22,NA,24,1,1,0,1,1,1,0,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,1,0,0,0,0,0,1,1,0,0
"3097",3998,0,13,22,14,15,16,17,18,19,1,1,0,0,2,0,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0,0,0,0,1,NA,NA,1,1,0
"3098",3999,1,12,30,14,14,16,NA,18,NA,0,0,0,0,2,0,1,0,0,2,1,1,1,0,0,0,1,1,0,0,0,NA,0,0,0,0,1,NA,NA,NA,NA,0
"3099",4000,0,16,37,18,19,20,21,22,23,0,1,0,1,4,0,0,0,1,2,1,2,0,1,0,0,4,0,0,0,1,24,1,0,0,0,0,1,1,0,0,0
"3100",4002,0,14,21,16,17,18,19,20,21,1,1,0,1,4,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,0,0,1,0,0,1,1,1,0,0
"3101",4003,0,16,25,18,19,20,21,22,23,1,1,0,1,4,0,0,0,1,3,NA,4,0,0,0,1,4,0,0,0,1,24,1,0,0,0,0,1,1,1,0,0
"3102",4004,1,13,28,15,16,17,18,19,20,1,0,0,1,4,0,0,0,1,3,NA,4,0,0,0,1,4,0,0,0,1,21,0,0,0,1,0,1,1,1,0,0
"3103",4005,0,16,27,18,18,20,NA,21,23,1,1,0,0,2,0,1,0,0,1,1,4,0,0,0,1,4,0,0,0,1,NA,1,0,0,0,0,1,1,0,0,0
"3104",4006,1,13,30,14,15,16,18,18,19,1,0,0,1,2,0,1,0,0,2,1,2,0,1,0,0,4,0,0,0,1,20,0,0,0,0,1,NA,NA,1,0,0
"3105",4008,0,13,22,15,16,17,18,19,20,1,1,0,1,4,0,0,0,1,2,1,4,0,0,0,1,4,0,0,0,1,21,0,0,0,1,0,1,1,1,1,0
"3106",4009,0,15,NA,17,18,19,20,21,22,1,1,0,0,3,0,0,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,0,1,0,0,0,0,1,1,1,0
"3107",4010,0,17,28,NA,NA,20,22,22,23,0,1,0,0,2,0,1,0,0,2,1,NA,NA,NA,NA,NA,2,0,1,0,0,24,1,0,0,0,0,1,1,1,1,0
"3108",4011,0,15,23,17,18,19,20,21,22,1,1,0,1,4,0,0,0,1,1,1,3,0,0,1,0,4,0,0,0,1,23,0,1,0,0,0,1,1,1,1,0
"3109",4012,0,14,24,16,17,18,19,20,21,0,1,0,1,2,0,1,0,0,2,1,2,0,1,0,0,2,0,1,0,0,22,0,0,1,0,0,1,1,1,1,0
"3110",4013,0,12,26,14,15,16,17,18,19,1,1,0,1,4,0,0,0,1,2,1,2,0,1,0,0,2,0,1,0,0,20,0,0,0,0,1,NA,NA,1,1,0
"3111",4014,0,16,30,18,19,20,21,22,23,1,1,0,1,3,0,0,1,0,1,1,2,0,1,0,0,2,0,1,0,0,24,1,0,0,0,0,0,1,1,1,0
"3112",4015,0,12,19,14,15,16,17,18,19,0,1,0,1,3,0,0,1,0,3,NA,2,0,1,0,0,1,1,0,0,0,20,0,0,0,0,1,NA,NA,1,1,0
"3113",4016,0,15,18,17,18,19,20,21,22,1,1,0,0,4,0,0,0,1,2,1,1,1,0,0,0,1,1,0,0,0,23,0,1,0,0,0,0,1,0,0,0
"3114",4017,0,12,21,14,15,16,17,18,19,0,1,0,0,4,0,0,0,1,2,1,1,1,0,0,0,1,1,0,0,0,20,0,0,0,0,1,NA,NA,0,0,0
"3115",4018,0,17,30,NA,19,20,21,22,23,0,1,0,1,3,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,1,0,0,0,0,1,1,1,1,0
"3116",4019,0,12,17,14,15,16,17,18,19,0,1,0,1,3,0,0,1,0,2,1,2,0,1,0,0,2,0,1,0,0,20,0,0,0,0,1,NA,NA,0,0,0
"3117",4021,0,16,26,17,19,19,20,21,22,1,1,0,1,3,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,0,1,0,0,0,0,1,1,0,0
"3118",4022,0,13,NA,14,15,16,17,18,19,0,1,0,0,4,0,0,0,1,1,1,2,0,1,0,0,3,0,0,1,0,20,0,0,0,0,1,NA,NA,NA,NA,0
"3119",4023,0,14,26,16,17,18,19,19,21,0,1,0,0,3,0,0,1,0,1,1,3,0,0,1,0,3,0,0,1,0,22,0,0,1,0,0,1,1,1,1,0
"3120",4024,0,14,30,15,17,18,19,20,21,0,0,1,1,3,0,0,1,0,2,1,4,0,0,0,1,4,0,0,0,1,22,0,0,1,0,0,1,1,1,1,0
"3121",4025,0,15,29,16,17,18,19,20,21,1,1,0,1,2,0,1,0,0,1,1,2,0,1,0,0,NA,NA,NA,NA,NA,22,0,0,1,0,0,0,1,1,0,0
"3122",4026,0,16,NA,17,18,19,20,21,22,0,1,0,0,4,0,0,0,1,1,1,2,0,1,0,0,3,0,0,1,0,23,0,1,0,0,0,1,1,1,1,0
"3123",4028,0,15,31,17,18,19,20,21,22,0,1,0,0,3,0,0,1,0,2,1,NA,NA,NA,NA,NA,4,0,0,0,1,23,0,1,0,0,0,1,1,1,1,0
"3124",4029,0,12,34,13,15,15,17,18,19,1,1,0,0,2,0,1,0,0,2,1,NA,NA,NA,NA,NA,4,0,0,0,1,19,0,0,0,0,1,NA,NA,1,1,0
"3125",4030,0,15,29,16,18,19,20,21,21,1,1,0,0,3,0,0,1,0,2,1,3,0,0,1,0,3,0,0,1,0,22,0,1,0,0,0,1,1,1,0,0
"3126",4031,0,15,22,17,18,19,20,21,22,1,1,0,0,2,0,1,0,0,2,1,3,0,0,1,0,2,0,1,0,0,23,0,1,0,0,0,0,1,1,0,0
"3127",4032,0,17,NA,18,19,20,21,22,23,0,1,0,0,4,0,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,1,0,0,0,0,1,1,1,1,0
"3128",4033,0,15,NA,17,18,19,20,21,21,1,1,0,0,2,0,1,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,1,1,1,0
"3129",4034,0,15,21,17,18,19,20,21,22,0,1,0,1,4,0,0,0,1,1,1,3,0,0,1,0,3,0,0,1,0,23,0,1,0,0,0,1,1,1,1,0
"3130",4035,0,15,17,17,18,19,20,21,22,0,1,0,0,1,1,0,0,0,2,1,2,0,1,0,0,3,0,0,1,0,23,0,1,0,0,0,0,0,0,0,0
"3131",4036,0,14,18,16,17,18,19,NA,21,0,1,0,0,1,1,0,0,0,2,1,2,0,1,0,0,3,0,0,1,0,22,0,0,1,0,0,0,1,0,0,0
"3132",4037,0,15,NA,17,18,19,20,21,22,1,1,0,1,3,0,0,1,0,2,1,4,0,0,0,1,4,0,0,0,1,23,0,1,0,0,0,0,1,1,0,0
"3133",4038,0,14,32,16,17,18,19,20,21,1,1,0,0,3,0,0,1,0,2,1,NA,NA,NA,NA,NA,3,0,0,1,0,22,0,0,1,0,0,1,1,1,0,0
"3134",4039,0,14,31,14,15,16,18,18,19,0,0,1,0,3,0,0,1,0,1,NA,1,1,0,0,0,2,0,1,0,0,20,0,0,0,0,1,NA,NA,1,1,0
"3135",4040,0,14,20,16,17,18,19,20,21,0,1,0,1,4,0,0,0,1,4,1,4,0,0,0,1,4,0,0,0,1,22,0,0,1,0,0,1,1,1,0,0
"3136",4041,0,13,21,15,16,17,18,19,20,1,1,0,1,4,0,0,0,1,4,1,4,0,0,0,1,4,0,0,0,1,21,0,0,0,1,0,1,1,1,0,0
"3137",4042,0,16,18,18,19,20,21,22,23,0,1,0,0,3,0,0,1,0,3,1,1,1,0,0,0,4,0,0,0,1,24,1,0,0,0,0,1,1,1,0,0
"3138",4043,0,17,24,NA,NA,21,21,22,23,1,1,0,0,1,1,0,0,0,2,1,NA,NA,NA,NA,NA,1,1,0,0,0,NA,1,0,0,0,0,0,0,NA,NA,0
"3139",4044,0,13,41,NA,NA,NA,NA,NA,20,1,1,0,0,1,1,0,0,0,2,1,NA,NA,NA,NA,NA,1,1,0,0,0,NA,0,0,0,1,0,NA,NA,1,0,0
"3140",4046,0,16,20,17,18,19,20,21,22,0,0,1,0,1,1,0,0,0,2,1,2,0,1,0,0,1,1,0,0,0,23,0,1,0,0,0,0,1,1,1,0
"3141",4047,0,12,24,14,14,16,17,18,18,0,0,1,0,2,0,1,0,0,2,1,2,0,1,0,0,1,1,0,0,0,20,0,0,0,0,1,NA,NA,1,1,0
"3142",4048,0,16,27,18,19,20,21,22,23,1,1,0,0,1,1,0,0,0,4,NA,1,1,0,0,0,2,0,1,0,0,24,1,0,0,0,0,0,1,1,0,0
